日期,经度,纬度,车辆运行模式,制动踏板位置,加速踏板位置,档位,钥匙状态,驾驶模式,车速,电机状态,电机转矩,电机转速,电机控制器电流,电机控制器电压,电机温度,电机控制器温度,总电流,总电压,绝缘阻值,剩余电量,电池最高单体电压,电池最低单体电压,总行驶里程
2018/11/19 17:59:30,0,0,行驶,未踩,0%,D,ON,正常模式,26.25km/h,准备完毕,-7Nm,1886rpm,-13A,113V,15℃,21℃,-9.5A,112V,3000kOhm,32%,3601mV,3595mV,3615.594km
2018/11/19 17:59:32,0,0,行驶,未踩,15%,D,ON,正常模式,24.84375km/h,准备完毕,3.75Nm,1794rpm,7A,112V,15℃,21℃,10.1A,111.6V,3000kOhm,32%,3604mV,3598mV,3615.594km
2018/11/19 17:59:40,0,0,行驶,未踩,0%,D,ON,正常模式,24.14063km/h,准备完毕,0Nm,1737rpm,0A,113V,15℃,21℃,2.7A,111.7V,3000kOhm,32%,3606mV,3598mV,3615.594km
2018/11/19 17:59:42,0,0,行驶,未踩,0%,D,ON,正常模式,21.5km/h,准备完毕,-6Nm,1546rpm,-8A,113V,15℃,21℃,-4.9A,111.9V,3000kOhm,32%,3609mV,3601mV,3615.688km
2018/11/19 17:59:44,0,0,行驶,踩下,0%,D,ON,正常模式,18.25km/h,准备完毕,-9Nm,1298rpm,-10A,113V,15℃,21℃,-6.6A,112V,3000kOhm,32%,3616mV,3608mV,3615.688km
2018/11/19 17:59:46,121.431,31.02844,行驶,未踩,0%,D,ON,正常模式,12.64063km/h,准备完毕,-3Nm,896rpm,-3A,113V,15℃,21℃,0A,111.8V,3000kOhm,32%,3618mV,3611mV,3615.688km
2018/11/19 17:59:48,121.4309,31.02844,行驶,未踩,17%,D,ON,正常模式,10.8125km/h,准备完毕,12.75Nm,789rpm,11A,113V,15℃,21℃,13A,111.5V,2999kOhm,32%,3618mV,3611mV,3615.688km
2018/11/19 17:59:58,0,0,行驶,未踩,19%,D,ON,正常模式,20.71875km/h,准备完毕,10.75Nm,1504rpm,17A,112V,15℃,21℃,19.6A,111.3V,3000kOhm,31%,3599mV,3591mV,3615.688km
2018/11/19 18:02:45,0,0,行驶,未踩,20%,D,ON,正常模式,22.3125km/h,准备完毕,10.75Nm,1618rpm,18A,112V,18℃,24℃,20.9A,111.2V,3000kOhm,31%,3597mV,3588mV,3616.594km
2018/11/19 18:02:47,0,0,行驶,未踩,0%,D,ON,正常模式,22.96875km/h,准备完毕,-7Nm,1655rpm,-10A,112V,18℃,24℃,-7.4A,111.8V,3000kOhm,31%,3596mV,3588mV,3616.594km
2018/11/19 18:02:56,0,0,行驶,未踩,11%,D,ON,正常模式,21.57813km/h,准备完毕,1.75Nm,1555rpm,3A,113V,18℃,24℃,5.8A,111.6V,3000kOhm,31%,3599mV,3591mV,3616.688km
2018/11/19 18:02:58,121.4242,31.02691,行驶,未踩,13%,D,ON,正常模式,20.45313km/h,准备完毕,2.75Nm,1482rpm,4A,112V,18℃,24℃,7.2A,111.5V,3000kOhm,31%,3605mV,3597mV,3616.688km
2018/11/19 18:03:00,121.4241,31.02688,行驶,未踩,18%,D,ON,正常模式,21.09375km/h,准备完毕,8.75Nm,1530rpm,14A,112V,18℃,24℃,16.7A,111.3V,3000kOhm,31%,3607mV,3597mV,3616.688km
2018/11/19 18:03:02,121.424,31.02684,行驶,未踩,7%,D,ON,正常模式,20.5km/h,准备完毕,0Nm,1483rpm,0A,113V,18℃,24℃,2.6A,111.6V,3000kOhm,31%,3605mV,3597mV,3616.688km
2018/11/19 18:03:04,121.424,31.0268,行驶,未踩,0%,D,ON,正常模式,18.01563km/h,准备完毕,-6Nm,1294rpm,-7A,112V,18℃,24℃,-4.1A,111.8V,3000kOhm,31%,3605mV,3597mV,3616.688km
2018/11/19 18:03:08,121.4238,31.02673,行驶,未踩,0%,D,ON,正常模式,16.65625km/h,准备完毕,-6Nm,1196rpm,-6A,112V,18℃,24℃,-3A,111.8V,3000kOhm,31%,3611mV,3603mV,3616.688km
2018/11/19 18:21:03,121.4223,31.02753,行驶,未踩,0%,D,ON,正常模式,12.625km/h,准备完毕,-3Nm,909rpm,-2A,113V,17℃,23℃,0A,111.8V,3000kOhm,31%,3612mV,3604mV,3616.891km
2018/11/19 18:21:05,121.4223,31.0275,行驶,踩下,0%,D,ON,正常模式,10.0625km/h,准备完毕,0Nm,719rpm,0A,113V,17℃,23℃,2.7A,111.8V,3000kOhm,31%,3612mV,3604mV,3616.891km
2018/11/19 18:21:07,121.4222,31.02749,行驶,踩下,0%,D,ON,正常模式,6.84375km/h,准备完毕,0Nm,491rpm,0A,113V,18℃,23℃,2.5A,111.8V,2999kOhm,31%,3613mV,3604mV,3616.891km
2018/11/19 18:21:09,121.4222,31.02748,行驶,未踩,22%,D,ON,正常模式,5.03125km/h,准备完毕,30.75Nm,374rpm,14A,113V,17℃,23℃,18A,111.4V,3000kOhm,31%,3613mV,3606mV,3616.891km
2018/11/19 18:21:11,121.4221,31.02748,行驶,未踩,24%,D,ON,正常模式,7.78125km/h,准备完毕,31.75Nm,575rpm,23A,112V,17℃,23℃,25.8A,111.2V,3000kOhm,31%,3613mV,3606mV,3616.891km
2018/11/19 18:21:13,121.4221,31.02753,行驶,未踩,24%,D,ON,正常模式,12.45313km/h,准备完毕,27.75Nm,912rpm,30A,112V,17℃,23℃,31.5A,111V,3000kOhm,31%,3605mV,3598mV,3616.891km
2018/11/19 18:21:15,121.4221,31.02759,行驶,未踩,15%,D,ON,正常模式,14.09375km/h,准备完毕,7.75Nm,1020rpm,8A,112V,17℃,23℃,11.6A,111.5V,3000kOhm,31%,3599mV,3591mV,3616.891km
2018/11/19 18:21:21,121.422,31.02776,行驶,未踩,0%,D,ON,正常模式,9.671875km/h,准备完毕,0Nm,681rpm,0A,112V,17℃,23℃,2.6A,111.7V,3000kOhm,30%,3609mV,3601mV,3617km
2018/11/19 18:21:31,0,0,行驶,未踩,15%,D,ON,正常模式,19.64063km/h,准备完毕,5.75Nm,1425rpm,9A,112V,18℃,23℃,9.9A,111.5V,2999kOhm,30%,3598mV,3591mV,3617km
2018/11/19 18:21:43,0,0,行驶,未踩,22%,D,ON,正常模式,21.64063km/h,准备完毕,15.75Nm,1570rpm,26A,112V,18℃,23℃,25.3A,111.3V,3000kOhm,30%,3601mV,3594mV,3617.094km
2018/11/19 18:21:53,0,0,行驶,未踩,19%,D,ON,正常模式,31.40625km/h,准备完毕,6.75Nm,2272rpm,16A,112V,18℃,24℃,21A,111V,3000kOhm,30%,3587mV,3579mV,3617.094km
2018/11/19 18:22:05,0,0,行驶,未踩,22%,D,ON,正常模式,22.70313km/h,准备完毕,15.75Nm,1648rpm,27A,112V,18℃,24℃,30.1A,110.9V,2999kOhm,30%,3607mV,3588mV,3617.188km
2018/11/19 18:22:17,0,0,行驶,未踩,4%,D,ON,正常模式,28.57813km/h,准备完毕,-3Nm,2065rpm,-6A,113V,18℃,24℃,-3A,111.7V,2999kOhm,30%,3599mV,3592mV,3617.297km
2018/11/19 18:22:29,0,0,行驶,未踩,17%,D,ON,正常模式,31.29688km/h,准备完毕,4.75Nm,2268rpm,11A,112V,18℃,23℃,14.1A,111.3V,3000kOhm,30%,3609mV,3600mV,3617.391km
2018/11/19 18:22:43,0,0,行驶,未踩,25%,D,ON,正常模式,31.04688km/h,准备完毕,15.75Nm,2247rpm,36A,111V,18℃,24℃,38.9A,110.7V,3000kOhm,30%,3593mV,3586mV,3617.5km
2018/11/19 18:22:53,0,0,行驶,未踩,27%,D,ON,正常模式,19.78125km/h,准备完毕,21.75Nm,1435rpm,33A,112V,18℃,24℃,30.1A,111.1V,3000kOhm,30%,3610mV,3601mV,3617.594km
2018/11/19 18:23:05,0,0,行驶,未踩,19%,D,ON,正常模式,28.90625km/h,准备完毕,6.75Nm,2092rpm,14A,112V,18℃,24℃,17.4A,111.1V,2999kOhm,30%,3588mV,3581mV,3617.688km
2018/11/19 18:23:15,0,0,行驶,未踩,23%,D,ON,正常模式,21.375km/h,准备完毕,16.5Nm,1550rpm,27A,112V,18℃,24℃,29.9A,110.9V,3000kOhm,30%,3610mV,3604mV,3617.797km
2018/11/19 18:23:23,0,0,行驶,未踩,19%,D,ON,正常模式,22.8125km/h,准备完毕,9.75Nm,1655rpm,17A,112V,18℃,24℃,19.5A,111.1V,3000kOhm,30%,3602mV,3594mV,3617.797km
2018/11/19 18:23:41,0,0,行驶,未踩,21%,D,ON,正常模式,23.375km/h,准备完毕,13.75Nm,1694rpm,24A,112V,18℃,24℃,27.5A,110.9V,3000kOhm,30%,3603mV,3578mV,3617.891km
2018/11/19 18:23:57,0,0,行驶,未踩,20%,D,ON,正常模式,25.57813km/h,准备完毕,8.75Nm,1854rpm,17A,113V,19℃,25℃,19.5A,111V,3000kOhm,30%,3585mV,3578mV,3618km
2018/11/20 14:12:30,0,0,行驶,未踩,15%,D,ON,正常模式,17.34375km/h,准备完毕,6.75Nm,1257rpm,9A,112V,17℃,21℃,11.5A,111.4V,3000kOhm,29%,3602mV,3595mV,3619.594km
2018/11/20 14:12:32,0,0,行驶,未踩,14%,D,ON,正常模式,17.35938km/h,准备完毕,5.75Nm,1255rpm,8A,112V,17℃,21℃,8.9A,111.4V,2999kOhm,29%,3602mV,3595mV,3619.594km
2018/11/20 14:12:34,0,0,行驶,未踩,12%,D,ON,正常模式,17.375km/h,准备完毕,3.75Nm,1255rpm,5A,112V,17℃,21℃,6.3A,111.5V,3000kOhm,29%,3602mV,3595mV,3619.688km
2018/11/20 14:12:36,0,0,行驶,未踩,7%,D,ON,正常模式,16.42188km/h,准备完毕,0Nm,1186rpm,0A,112V,17℃,21℃,1.1A,111.6V,3000kOhm,29%,3603mV,3597mV,3619.688km
2018/11/20 14:12:38,0,0,行驶,未踩,11%,D,ON,正常模式,15.65625km/h,准备完毕,2.75Nm,1130rpm,3A,112V,17℃,21℃,4.7A,111.5V,3000kOhm,29%,3606mV,3598mV,3619.688km
2018/11/20 14:12:40,0,0,行驶,未踩,17%,D,ON,正常模式,15.65625km/h,准备完毕,10.75Nm,1133rpm,13A,112V,17℃,21℃,14.2A,111.3V,3000kOhm,29%,3606mV,3598mV,3619.688km
2018/11/20 14:12:42,0,0,行驶,未踩,17%,D,ON,正常模式,16.89063km/h,准备完毕,9.75Nm,1227rpm,13A,112V,17℃,21℃,13.5A,111.3V,3000kOhm,29%,3605mV,3598mV,3619.688km
2018/11/20 14:12:44,0,0,行驶,未踩,19%,D,ON,正常模式,18.17188km/h,准备完毕,11.75Nm,1320rpm,16A,111V,17℃,21℃,17.5A,111.2V,3000kOhm,29%,3599mV,3592mV,3619.688km
